Funcionario,Escolaridade,Genero,Idade,Meses,Salario
1,Fundam.1,F,46,82,6960
2,Fundam.2,F,44,91,8590
3,Superior,F,29,73,10270
4,Fundam.1,O,38,93,7990
5,Fundam.2,F,42,34,17280
6,Fundam.1,O,68,42,16640
7,Fundam.1,M,48,6,7920
8,Fundam.1,F,62,59,12850
9,Fundam.1,F,19,64,9750
10,Fundam.2,M,67,16,6560
11,Superior,F,43,12,9920
12,Superior,M,73,32,7610
13,Fundam.1,M,48,53,18590
14,Fundam.1,M,17,24,11410
15,Fundam.1,O,45,96,14090
16,Fundam.2,F,55,80,7090
17,Fundam.2,M,42,0,10760
18,Fundam.2,M,56,5,4070
19,Fundam.2,M,23,12,11360
20,Superior,M,55,66,17960
