Funcionario,Escolaridade,Genero,Idade,Meses,Salario
1,Fundam.1,M,72,18,1830
2,Fundam.1,F,53,36,15060
3,Fundam.1,F,18,75,1550
4,Fundam.2,M,71,37,10200
5,Fundam.1,M,18,8,17320
6,Fundam.2,F,17,33,6270
7,Fundam.1,M,57,85,15310
8,Fundam.2,O,70,59,19170
9,Fundam.2,F,57,93,8460
10,Superior,F,46,67,16950
11,Fundam.1,F,16,39,19200
12,Fundam.1,M,32,26,17360
13,Fundam.2,M,47,47,19600
14,Fundam.2,F,65,95,11660
15,Fundam.2,O,60,86,11800
16,Superior,F,23,19,12250
17,Fundam.2,O,60,10,17590
18,Superior,M,53,41,2490
19,Fundam.2,F,20,96,15660
20,Fundam.2,F,67,33,11400
